topic_id	trial_id	relevance
1	NCT00002569	excluded
1	NCT00002620	excluded
1	NCT00002806	not_relevant
1	NCT00002814	eligible
1	NCT00003022	excluded
1	NCT00003176	excluded
1	NCT00003372	excluded
1	NCT00003375	excluded
1	NCT00003465	excluded
1	NCT00003466	not_relevant
1	NCT00003470	eligible
1	NCT00003471	eligible
1	NCT00003537	eligible
1	NCT00003564	excluded
1	NCT00003621	eligible
1	NCT00003775	not_relevant
1	NCT00003842	not_relevant
1	NCT00004017	excluded
1	NCT00004068	excluded
1	NCT00004080	excluded
1	NCT00004204	excluded
1	NCT00004259	excluded
1	NCT00004402	excluded
1	NCT00004868	excluded
1	NCT00005081	excluded
1	NCT00005637	eligible
1	NCT00005856	excluded
1	NCT00005951	excluded
1	NCT00006024	excluded
1	NCT00006080	excluded
1	NCT00006263	excluded
1	NCT00006355	excluded
1	NCT00006474	eligible
1	NCT00006916	excluded
1	NCT00007982	excluded
1	NCT00014976	not_relevant
1	NCT00024570	excluded
1	NCT00028795	excluded
1	NCT00032097	excluded
1	NCT00033280	excluded
1	NCT00039364	excluded
1	NCT00047281	excluded
1	NCT00047879	excluded
1	NCT00052624	excluded
1	NCT00062504	excluded
1	NCT00064363	eligible
1	NCT00068510	eligible
1	NCT00080054	eligible
1	NCT00093613	excluded
1	NCT00100802	excluded
1	NCT00103272	not_relevant
1	NCT00114140	excluded
1	NCT00114309	excluded
1	NCT00115440	excluded
1	NCT00125658	not_relevant
1	NCT00178724	not_relevant
1	NCT00226798	not_relevant
1	NCT00253487	excluded
1	NCT00257998	not_relevant
1	NCT00276783	eligible
1	NCT00300898	not_relevant
1	NCT00301418	eligible
1	NCT00303849	excluded
1	NCT00335075	excluded
1	NCT00352313	excluded
1	NCT00354068	eligible
1	NCT00360828	not_relevant
1	NCT00360945	excluded
1	NCT00362570	not_relevant
1	NCT00369590	not_relevant
1	NCT00378235	excluded
1	NCT00389090	not_relevant
1	NCT00390299	not_relevant
1	NCT00392171	excluded
1	NCT00397683	excluded
1	NCT00400816	not_relevant
1	NCT00409214	not_relevant
1	NCT00412542	not_relevant
1	NCT00430872	eligible
1	NCT00430911	excluded
1	NCT00431561	excluded
1	NCT00445965	excluded
1	NCT00458731	eligible
1	NCT00473408	excluded
1	NCT00504660	excluded
1	NCT00526812	excluded
1	NCT00553462	not_relevant
1	NCT00575887	eligible
1	NCT00590096	not_relevant
1	NCT00606008	excluded
1	NCT00612001	eligible
1	NCT00613093	eligible
1	NCT00616005	excluded
1	NCT00623961	not_relevant
1	NCT00626990	excluded
1	NCT00630604	not_relevant
1	NCT00631137	eligible
1	NCT00643591	eligible
1	NCT00668122	not_relevant
1	NCT00683761	excluded
1	NCT00700505	not_relevant
1	NCT00702897	not_relevant
1	NCT00704080	eligible
1	NCT00705198	eligible
1	NCT00717210	excluded
1	NCT00720564	excluded
1	NCT00723827	eligible
1	NCT00734682	excluded
1	NCT00734864	not_relevant
1	NCT00738751	not_relevant
1	NCT00745069	not_relevant
1	NCT00761280	excluded
1	NCT00783393	excluded
1	NCT00793845	not_relevant
1	NCT00804557	not_relevant
1	NCT00841555	excluded
1	NCT00856388	not_relevant
1	NCT00876499	not_relevant
1	NCT00884416	excluded
1	NCT00928837	not_relevant
1	NCT00942227	not_relevant
1	NCT00968240	excluded
1	NCT00974636	not_relevant
1	NCT00976313	not_relevant
1	NCT00978458	excluded
1	NCT00990652	excluded
1	NCT00995007	not_relevant
1	NCT01004887	not_relevant
1	NCT01014520	excluded
1	NCT01020279	not_relevant
1	NCT01022476	not_relevant
1	NCT01022905	not_relevant
1	NCT01026584	not_relevant
1	NCT01029873	not_relevant
1	NCT01046279	not_relevant
1	NCT01063920	not_relevant
1	NCT01080703	not_relevant
1	NCT01082926	excluded
1	NCT01103375	eligible
1	NCT01110876	not_relevant
1	NCT01113905	not_relevant
1	NCT01119599	not_relevant
1	NCT01154452	not_relevant
1	NCT01156584	not_relevant
1	NCT01180816	eligible
1	NCT01189240	not_relevant
1	NCT01193673	not_relevant
1	NCT01235845	excluded
